DEBUG 2024-11-29 20:08:14,053 autoreload File C:\Users\KENL158\Downloads\django-api\venv\Lib\site-packages\django\contrib\admin\decorators.py first seen with mtime 1732886800.7410595
DEBUG 2024-11-29 20:08:14,054 autoreload File C:\Program Files\Python310\Lib\email\mime\base.py first seen with mtime 1633399924.0
DEBUG 2024-11-29 20:08:14,054 autoreload File C:\Users\KENL158\Downloads\django-api\venv\Lib\site-packages\django\db\__init__.py first seen with mtime 1732886804.8099875
DEBUG 2024-11-29 20:08:14,055 autoreload File C:\Program Files\Python310\Lib\asyncio\mixins.py first seen with mtime 1633399924.0
DEBUG 2024-11-29 20:08:14,056 autoreload File C:\Program Files\Python310\Lib\html\parser.py first seen with mtime 1633399924.0
DEBUG 2024-11-29 20:08:14,056 autoreload File C:\Users\KENL158\Downloads\django-api\venv\Lib\site-packages\django\template\base.py first seen with mtime 1732886805.004595
DEBUG 2024-11-29 20:08:14,057 autoreload File C:\Users\KENL158\Downloads\django-api\venv\Lib\site-packages\django\urls\conf.py first seen with mtime 1732886805.0397313
DEBUG 2024-11-29 20:08:14,057 autoreload File C:\Users\KENL158\Downloads\django-api\venv\Lib\site-packages\django\middleware\cache.py first seen with mtime 1732886804.996649
DEBUG 2024-11-29 20:08:14,057 autoreload File C:\Users\KENL158\Downloads\django-api\venv\Lib\site-packages\django\template\defaulttags.py first seen with mtime 1732886805.0077693
DEBUG 2024-11-29 20:08:14,058 autoreload File C:\Users\KENL158\Downloads\django-api\venv\Lib\site-packages\django\views\generic\__init__.py first seen with mtime 1732886805.1061523
DEBUG 2024-11-29 20:08:14,058 autoreload File C:\Program Files\Python310\Lib\logging\config.py first seen with mtime 1633399924.0
DEBUG 2024-11-29 20:08:14,059 autoreload File C:\Program Files\Python310\Lib\pkgutil.py first seen with mtime 1633399924.0
DEBUG 2024-11-29 20:08:14,059 autoreload File C:\Users\KENL158\Downloads\django-api\venv\Lib\site-packages\django\db\migrations\exceptions.py first seen with mtime 1732886804.856949
DEBUG 2024-11-29 20:08:14,059 autoreload File C:\Program Files\Python310\Lib\asyncio\subprocess.py first seen with mtime 1633399924.0
DEBUG 2024-11-29 20:08:14,104 autoreload File C:\Users\KENL158\Downloads\django-api\venv\Lib\site-packages\django\contrib\admin\sites.py first seen with mtime 1732886800.7477765
DEBUG 2024-11-29 20:08:14,143 autoreload File C:\Users\KENL158\Downloads\django-api\venv\Lib\site-packages\rest_framework\utils\__init__.py first seen with mtime 1732888345.231078
DEBUG 2024-11-29 20:08:14,145 autoreload File C:\Users\KENL158\Downloads\django-api\venv\Lib\site-packages\rest_framework\status.py first seen with mtime 1732888345.0136883
DEBUG 2024-11-29 20:08:14,146 autoreload File C:\Users\KENL158\Downloads\django-api\venv\Lib\site-packages\django\views\debug.py first seen with mtime 1732886805.0965757
DEBUG 2024-11-29 20:08:14,148 autoreload File C:\Program Files\Python310\Lib\signal.py first seen with mtime 1633399924.0
DEBUG 2024-11-29 20:08:14,148 autoreload File C:\Program Files\Python310\Lib\codecs.py first seen with mtime 1633399924.0
DEBUG 2024-11-29 20:08:14,149 autoreload File C:\Users\KENL158\Downloads\django-api\venv\Lib\site-packages\django\db\backends\base\__init__.py first seen with mtime 1732886804.8147173
DEBUG 2024-11-29 20:08:14,149 autoreload File C:\Users\KENL158\Downloads\django-api\venv\Lib\site-packages\rest_framework\utils\representation.py first seen with mtime 1732888345.239731
DEBUG 2024-11-29 20:08:14,150 autoreload File C:\Users\KENL158\Downloads\django-api\venv\Lib\site-packages\django_redis\exceptions.py first seen with mtime 1732888971.3336942
DEBUG 2024-11-29 20:08:14,152 autoreload File C:\Program Files\Python310\Lib\asyncio\events.py first seen with mtime 1633399924.0
DEBUG 2024-11-29 20:08:14,153 autoreload File C:\Users\KENL158\Downloads\django-api\venv\Lib\site-packages\django\core\wsgi.py first seen with mtime 1732886804.7236626
DEBUG 2024-11-29 20:08:14,154 autoreload File C:\Users\KENL158\Downloads\django-api\venv\Lib\site-packages\django\contrib\admin\templatetags\base.py first seen with mtime 1732886801.6100862
DEBUG 2024-11-29 20:08:14,155 autoreload File C:\Users\KENL158\Downloads\django-api\venv\Lib\site-packages\django\core\exceptions.py first seen with mtime 1732886804.7201192
DEBUG 2024-11-29 20:08:14,158 autoreload File C:\Users\KENL158\Downloads\django-api\venv\Lib\site-packages\django\views\decorators\debug.py first seen with mtime 1732886805.1028857
DEBUG 2024-11-29 20:08:14,171 autoreload File C:\Program Files\Python310\Lib\ntpath.py first seen with mtime 1633399924.0
DEBUG 2024-11-29 20:08:14,172 autoreload File C:\Program Files\Python310\Lib\locale.py first seen with mtime 1633399924.0
DEBUG 2024-11-29 20:08:14,172 autoreload File C:\Program Files\Python310\Lib\urllib\error.py first seen with mtime 1633399924.0
DEBUG 2024-11-29 20:08:14,173 autoreload File C:\Users\KENL158\Downloads\django-api\venv\Lib\site-packages\rest_framework\schemas\utils.py first seen with mtime 1732888345.1362083
DEBUG 2024-11-29 20:08:14,173 autoreload File C:\Program Files\Python310\Lib\weakref.py first seen with mtime 1633399926.0
DEBUG 2024-11-29 20:08:14,173 autoreload File C:\Program Files\Python310\Lib\asyncio\protocols.py first seen with mtime 1633399924.0
DEBUG 2024-11-29 20:08:14,174 autoreload File C:\Users\KENL158\Downloads\django-api\venv\Lib\site-packages\django\utils\duration.py first seen with mtime 1732886805.0716605
DEBUG 2024-11-29 20:08:14,174 autoreload File C:\Users\KENL158\Downloads\django-api\venv\Lib\site-packages\django\contrib\messages\api.py first seen with mtime 1732886803.5867033
DEBUG 2024-11-29 20:08:14,175 autoreload File C:\Program Files\Python310\Lib\encodings\utf_8.py first seen with mtime 1633399924.0
DEBUG 2024-11-29 20:08:14,176 autoreload File C:\Program Files\Python310\Lib\sre_constants.py first seen with mtime 1633399924.0
DEBUG 2024-11-29 20:08:14,177 autoreload File C:\Users\KENL158\Downloads\django-api\venv\Lib\site-packages\django\contrib\admin\templatetags\log.py first seen with mtime 1732886801.611005
DEBUG 2024-11-29 20:08:14,177 autoreload File C:\Users\KENL158\Downloads\django-api\venv\Lib\site-packages\django\core\files\__init__.py first seen with mtime 1732886804.7536485
DEBUG 2024-11-29 20:08:14,178 autoreload File C:\Users\KENL158\Downloads\django-api\venv\Lib\site-packages\django\db\backends\base\features.py first seen with mtime 1732886804.8177495
DEBUG 2024-11-29 20:08:14,178 autoreload File C:\Users\KENL158\Downloads\django-api\venv\Lib\site-packages\django\db\backends\utils.py first seen with mtime 1732886804.814221
DEBUG 2024-11-29 20:08:14,178 autoreload File C:\Users\KENL158\Downloads\django-api\venv\Lib\site-packages\django\db\migrations\utils.py first seen with mtime 1732886804.8648665
DEBUG 2024-11-29 20:08:14,179 autoreload File C:\Users\KENL158\Downloads\django-api\venv\Lib\site-packages\rest_framework\settings.py first seen with mtime 1732888345.0115023
DEBUG 2024-11-29 20:08:14,180 autoreload File C:\Users\KENL158\Downloads\django-api\venv\Lib\site-packages\django\core\checks\model_checks.py first seen with mtime 1732886804.735274
DEBUG 2024-11-29 20:08:14,180 autoreload File C:\Program Files\Python310\Lib\email\mime\nonmultipart.py first seen with mtime 1633399924.0
DEBUG 2024-11-29 20:08:14,181 autoreload File C:\Users\KENL158\Downloads\django-api\venv\Lib\site-packages\django\db\models\__init__.py first seen with mtime 1732886804.8704793
DEBUG 2024-11-29 20:08:14,185 autoreload File C:\Users\KENL158\Downloads\django-api\venv\Lib\site-packages\django\conf\__init__.py first seen with mtime 1732886800.3474584
DEBUG 2024-11-29 20:08:14,186 autoreload File C:\Users\KENL158\Downloads\django-api\venv\Lib\site-packages\django\forms\__init__.py first seen with mtime 1732886804.9078455
DEBUG 2024-11-29 20:08:14,187 autoreload File C:\Users\KENL158\Downloads\django-api\venv\Lib\site-packages\django\db\migrations\operations\base.py first seen with mtime 1732886804.8676157
DEBUG 2024-11-29 20:08:14,189 autoreload File C:\Users\KENL158\Downloads\django-api\venv\Lib\site-packages\sqlparse\exceptions.py first seen with mtime 1732886799.629984
DEBUG 2024-11-29 20:08:14,190 autoreload File C:\Users\KENL158\Downloads\django-api\venv\Lib\site-packages\rest_framework\response.py first seen with mtime 1732888345.0076902
